date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:00	4989/4989	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:16:59%20GMT	../static/RDJ/insights/dedicated-cybercrime-legislation-in-ireland--worth-the-wait-?s=0.251390231004	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/insights/dedicated-cybercrime-legislation-in-ireland--worth-the-wait-.940046.delayed	(from ../static/RDJ/blog/post/dedicated-cybercrime-legislation-in-ireland--worth-the-wait-/)
15:17:03	207345/207345	---M--	200	added ('OK')	image/jpeg	etag:%2255918699cf1d21:0%22	../static/RDJ/contentFiles/innerpageBanners/iStock-520710008.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/innerpageBanners/iStock-520710008.jpg	(from ../static/RDJ/choosing-the-right-business-vehicle)
15:17:04	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:00%20GMT	../static/RDJ/our-people/id/sean-o'reilly/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/sean-o'reilly/index.html	(from ../static/RDJ/blog/post/dedicated-cybercrime-legislation-in-ireland--worth-the-wait-/)
15:17:08	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:03%20GMT	../static/RDJ/our-people/id/elena/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/elena/index.html	(from ../static/RDJ/blog/post/international-data-transfers-update/)
15:17:09	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:04%20GMT	../static/RDJ/data-protection	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/data-protection.95.delayed	(from ../static/RDJ/blog/post/this-time-next-year--only-one-year-to-go-to-gdpr-/)
15:17:09	5014/5014	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:09%20GMT	../static/RDJ/insights/key-takeaways-from-the-data-protection-commissioner-s-2016-annual-report?s=0.0509077049751	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/insights/key-takeaways-from-the-data-protection-commissioner-s-2016-annual-report.96fdb2.delayed	(from ../static/RDJ/blog/post/important-notes-for-tech-companies-in-data-protection-commissioner-annual-report-for-2016/)
15:17:13	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:09%20GMT	../static/RDJ/our-people/id/diarmaid-gavin/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/diarmaid-gavin/index.html	(from ../static/RDJ/blog/post/knowledge-development-box-update/)
15:17:13	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:09%20GMT	../static/RDJ/our-people/id/john/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/john/index.html	(from ../static/RDJ/blog/post/knowledge-development-box-update/)
15:17:14	1454/1454	---M-Z	200	added ('OK')	text/css	etag:%22b45ff6156cad21:0%22	../static/RDJ/dcCom/components/GDSitemap/styles/default/style.css	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSitemap/styles/default/style.css	(from ../static/RDJ/sitemap)
15:17:15	968/968	---M--	200	added ('OK')	image/gif	etag:%223b49196356cad21:0%22	../static/RDJ/dcCom/components/GDSitemap/filetypes/unknown.gif	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSitemap/filetypes/unknown.gif	(from ../static/RDJ/sitemap)
15:17:16	81452/81452	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:14%20GMT	../static/RDJ/search	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/search.html	(from ../static/RDJ/sitemap)
15:17:17	118377/118377	---M--	200	added ('OK')	image/jpeg	etag:%22ab823a49df1d21:0%22	../static/RDJ/contentFiles/innerpageBanners/iStock72891537XLARGE1.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/innerpageBanners/iStock72891537XLARGE1.jpg	(from ../static/RDJ/key-contracts)
15:17:18	78704/78704	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:15%20GMT	../static/RDJ/login	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/login.html	(from ../static/RDJ/sitemap)
15:17:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Sep%202017%2014:17:17%20GMT	../static/RDJ/linkedin	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/linkedin.9c.delayed	(from ../static/RDJ/sitemap)
15:17:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Sep%202017%2014:17:17%20GMT	../static/RDJ/twitter	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/twitter.9d.delayed	(from ../static/RDJ/sitemap)
15:17:18	86757/86757	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:16%20GMT	../static/RDJ/standard-terms-and-conditions-for-seed_venture-investment	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/standard-terms-and-conditions-for-seed_venture-investment.html	(from ../static/RDJ/sitemap)
15:17:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Sep%202017%2014:17:18%20GMT	../static/RDJ/email-us	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/email-us.9e.delayed	(from ../static/RDJ/sitemap)
15:17:20	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:18%20GMT	../static/RDJ/mailto:startups@rdj.ie	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/mailto_startups@rdj.9f.delayed	(from ../static/RDJ/sitemap)
15:17:24	213564/213564	---M--	200	added ('OK')	image/jpeg	etag:%22f3f1855ad6ad31:0%22	../static/RDJ/contentFiles/innerpageBanners/iStock-686935828.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/innerpageBanners/iStock-686935828.jpg	(from ../static/RDJ/intellectual-property)
15:17:24	73474/73474	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:21%20GMT	../static/RDJ/blog/post/has-it-just-got-easier-for-small-companies-to-claim-the-r-d-credit-/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/has-it-just-got-easier-for-small-companies-to-claim-the-r-d-credit-/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:26	74022/74022	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:23%20GMT	../static/RDJ/blog/post/the-gig-economy-and-employment-rights/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/the-gig-economy-and-employment-rights/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:28	72287/72287	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:26%20GMT	../static/RDJ/blog/post/byod---an-employer-s-perspective-on--bring-your-own-device-/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/byod---an-employer-s-perspective-on--bring-your-own-device-/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:28	33629/33629	---M--	200	added ('OK')	image/jpeg	etag:%22ed8e01536d31:0%22	../static/RDJ/contentFiles/components/GDBlog/26/thumbnails/LifeSciences.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/components/GDBlog/26/thumbnails/LifeSciences.jpg	(from ../static/RDJ/blog/pageNum/2/)
15:17:29	71561/71561	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:28%20GMT	../static/RDJ/blog/post/american-chamber-of-commerce-future-leaders--hackathon-2017/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/american-chamber-of-commerce-future-leaders--hackathon-2017/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:32	47160/47160	---M--	200	added ('OK')	image/jpeg	etag:%227452d71536d31:0%22	../static/RDJ/contentFiles/components/GDBlog/26/thumbnails/Driver-Phone.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/components/GDBlog/26/thumbnails/Driver-Phone.jpg	(from ../static/RDJ/blog/pageNum/2/)
15:17:33	70049/70049	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:32%20GMT	../static/RDJ/blog/post/international-transfers-of-personal-data-under-scrutiny-in-irish-courts/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/international-transfers-of-personal-data-under-scrutiny-in-irish-courts/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:33	45080/45080	---M--	200	added ('OK')	image/jpeg	etag:%226b2ed01536d31:0%22	../static/RDJ/contentFiles/components/GDBlog/26/thumbnails/Smartphone1.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/components/GDBlog/26/thumbnails/Smartphone1.jpg	(from ../static/RDJ/blog/pageNum/2/)
15:17:36	69993/69993	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:33%20GMT	../static/RDJ/blog/post/data-security-breach-response-plan-/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/data-security-breach-response-plan-/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:39	71389/71389	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:36%20GMT	../static/RDJ/blog/post/international-data-transfers-post-schrems/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/international-data-transfers-post-schrems/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:41	47536/47536	---M--	200	added ('OK')	image/jpeg	etag:%2241ac941536d31:0%22	../static/RDJ/contentFiles/components/GDBlog/26/thumbnails/laptoplock.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/components/GDBlog/26/thumbnails/laptoplock.jpg	(from ../static/RDJ/blog/pageNum/2/)
15:17:41	70096/70096	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Sep%202017%2014:17:39%20GMT	../static/RDJ/blog/post/one-to-watch-for-2017--cybercrime-legislation/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/blog/post/one-to-watch-for-2017--cybercrime-legislation/index.html	(from ../static/RDJ/blog/pageNum/2/)
15:17:41	4990/4990	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:40%20GMT	../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/images/layout/bgCalendarBlue2.gif	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/gdEvents/styles/rdjstartups/images/layout/bgCalendarBlue2.a6.delayed	(from ../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/css/events.css)
15:17:41	4970/4970	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:40%20GMT	../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/images/events/today.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/gdEvents/styles/rdjstartups/images/events/today.a7.delayed	(from ../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/css/events.css)
15:17:42	3361/3361	---M--	200	added ('OK')	image/png	etag:%2280372ccb8d73d01:0%22	../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/images/events/eventCalendar.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/gdEvents/styles/rdjstartups/images/events/eventCalendar.png	(from ../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/css/events.css)
15:17:42	1649/1649	---M--	200	added ('OK')	image/png	etag:%2280372ccb8d73d01:0%22	../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/images/events/bgDate.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/gdEvents/styles/rdjstartups/images/events/bgDate.png	(from ../static/RDJ/dcCom/components/gdEvents/styles/rdjstartups/css/events.css)
15:17:42	860/860	---M--	200	added ('OK')	image/png	etag:%2260d0b1157f61d01:0%22	../static/RDJ/dccom/components/GDDocuments/styles/Default/images/icons/download.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dccom/components/GDDocuments/styles/Default/images/icons/download.png	(from ../static/RDJ/dccom/components/GDDocuments/styles/Default/style.css)
15:17:43	1136/1136	---M--	200	added ('OK')	image/png	etag:%2280646783814bd01:0%22	../static/RDJ/dccom/components/GDDocuments/assets/datatables/images/sort_both.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dccom/components/GDDocuments/assets/datatables/images/sort_both.png	(from ../static/RDJ/dccom/components/GDDocuments/assets/datatables/css/jquery.dataTables.min.css)
15:17:43	1118/1118	---M--	200	added ('OK')	image/png	etag:%226057f482814bd01:0%22	../static/RDJ/dccom/components/GDDocuments/assets/datatables/images/sort_asc.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dccom/components/GDDocuments/assets/datatables/images/sort_asc.png	(from ../static/RDJ/dccom/components/GDDocuments/assets/datatables/css/jquery.dataTables.min.css)
15:17:43	1127/1127	---M--	200	added ('OK')	image/png	etag:%22b0a6ae83814bd01:0%22	../static/RDJ/dccom/components/GDDocuments/assets/datatables/images/sort_desc.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dccom/components/GDDocuments/assets/datatables/images/sort_desc.png	(from ../static/RDJ/dccom/components/GDDocuments/assets/datatables/css/jquery.dataTables.min.css)
15:17:44	1045/1045	---M--	200	added ('OK')	image/png	etag:%22d05c782814bd01:0%22	../static/RDJ/dccom/components/GDDocuments/assets/datatables/images/sort_desc_disabled.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dccom/components/GDDocuments/assets/datatables/images/sort_desc_disabled.png	(from ../static/RDJ/dccom/components/GDDocuments/assets/datatables/css/jquery.dataTables.min.css)
15:17:44	2916/2916	---M--	200	added ('OK')	image/png	etag:%2270a77f83814bd01:0%22	../static/RDJ/dccom/components/GDDocuments/assets/datatables/images/sort_asc_disabled.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dccom/components/GDDocuments/assets/datatables/images/sort_asc_disabled.png	(from ../static/RDJ/dccom/components/GDDocuments/assets/datatables/css/jquery.dataTables.min.css)
15:17:44	96320/96320	---M--	200	added ('OK')	image/jpeg	etag:%222eac91536d31:0%22	../static/RDJ/contentFiles/components/GDBlog/26/thumbnails/AMCHAM.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/components/GDBlog/26/thumbnails/AMCHAM.jpg	(from ../static/RDJ/blog/pageNum/2/)
15:17:44	120/120	---M--	200	added ('OK')	image/gif	etag:%22ca93ff6156cad21:0%22	../static/RDJ/dcCom/components/GDSitemap/styles/default/icons/map_vert.gif	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSitemap/styles/default/icons/map_vert.gif	(from ../static/RDJ/dcCom/components/GDSitemap/styles/default/style.css)
15:17:44	861/861	---M--	200	added ('OK')	image/gif	etag:%22227e06256cad21:0%22	../static/RDJ/dcCom/components/GDSitemap/styles/default/icons/map_last.gif	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSitemap/styles/default/icons/map_last.gif	(from ../static/RDJ/dcCom/components/GDSitemap/styles/default/style.css)
15:17:45	867/867	---M--	200	added ('OK')	image/gif	etag:%224bcc06256cad21:0%22	../static/RDJ/dcCom/components/GDSitemap/styles/default/icons/map_midd.gif	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSitemap/styles/default/icons/map_midd.gif	(from ../static/RDJ/dcCom/components/GDSitemap/styles/default/style.css)
15:17:45	7472/7472	---M-Z	200	added ('OK')	text/css	etag:%22d05b821edc9dd01:0%22	../static/RDJ/dcCom/components/GDSiteSearch/styles/default/style.css	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSiteSearch/styles/default/style.css	(from ../static/RDJ/search)
15:17:46	137007/137007	---M--	200	added ('OK')	image/jpeg	etag:%22fd55a51536d31:0%22	../static/RDJ/contentFiles/components/GDBlog/26/thumbnails/ServerRoom-Tech.jpg	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/contentFiles/components/GDBlog/26/thumbnails/ServerRoom-Tech.jpg	(from ../static/RDJ/blog/pageNum/2/)
15:17:48	4966/4966	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:46%20GMT	../static/RDJ/dcCom/components/GDSiteSearch/styles/images/layout/miniCartNip.png	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/dcCom/components/GDSiteSearch/styles/images/layout/miniCartNip.b4.delayed	(from ../static/RDJ/dcCom/components/GDSiteSearch/styles/default/style.css)
15:17:49	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:46%20GMT	../static/RDJ/our-people/id/mark/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/mark/index.html	(from ../static/RDJ/blog/post/has-it-just-got-easier-for-small-companies-to-claim-the-r-d-credit-/)
15:17:49	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:46%20GMT	../static/RDJ/our-people/id/harry/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/harry/index.html	(from ../static/RDJ/blog/post/the-gig-economy-and-employment-rights/)
15:17:49	78992/78992	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2014:17:46%20GMT	../static/RDJ/our-people/id/finin/	D:/RDJ_Prototype/RDJ/www.rdjstartups.ie/our-people/id/finin/index.html	(from ../static/RDJ/blog/post/data-security-breach-response-plan-/)
